CardNumber,ExpireDate,SecCode,CustomerId
5048372956865570,4/14/27,474,15
5048372999468890,7/12/27,863,34
5048379253649340,10/27/25,575,26
5048378174620000,9/28/28,292,35
5108759025266370,9/24/25,427,6
5048375725434360,3/12/27,997,38
5108752541531280,8/28/26,998,26
5108753342855710,8/19/28,609,17
5108752861441910,8/20/28,864,6
5108752160653660,6/26/26,744,8
5048376639215630,2/7/28,250,19
5048371311105890,3/23/28,223,26
5108751235577570,10/8/26,968,16
5108758421940170,9/30/28,186,19
5048371020071620,12/6/24,853,8
5048371871211950,7/27/28,942,15
5108755768861310,4/3/26,553,26
5048371734865060,5/28/28,626,23
5048374444509300,2/5/25,919,5
5108753810401750,8/31/25,752,19
5048371155282580,3/9/26,274,17
5108753776119600,8/9/26,643,6
5048371163917990,12/9/25,537,28
5048370474003790,1/7/25,852,3
5108755541287770,8/26/25,518,40
5048375005023660,1/12/28,699,10
5048372261965200,3/5/25,184,16
5048376104343240,12/4/26,575,12
5108752162594220,5/27/26,502,21
5108759248938040,6/12/27,146,26
5108757217322620,4/18/24,793,5
5108752484759500,10/5/25,717,28
5048374358343360,4/30/25,818,14
5108755007818580,8/22/25,631,15
5108759598346700,8/7/28,975,27
5048377000299960,11/14/24,649,5
5048373374651060,9/30/27,101,36
5048379456609680,2/5/26,180,7
5108753896467990,10/8/24,919,21
5048373512350700,8/21/28,942,17
,,,
